==============Loading domain:  bugadacargnel.com
---Loading completed
-3534.672:	http://bugadacargnel.com/fr/pages/expositions.php?name=matcollishaw&page=communique
-3731.470:	http://bugadacargnel.com/fr/pages/expositions.php?name=matcollishaw&page=oeuvrespresentees
-3782.038:	http://bugadacargnel.com/fr/pages/artistes.php?name=matcollishaw
-3782.038:	http://bugadacargnel.com/fr/pages/artistes.php?name=matcollishaw&page=presentation
-3782.437:	http://bugadacargnel.com/fr/pages/expositions.php?name=halukakakce-annikalarsson
-3782.437:	http://bugadacargnel.com/fr/pages/expositions.php?name=halukakakce-annikalarsson&page=communique
-3797.253:	http://bugadacargnel.com/fr/pages/expositions.php?name=vanessabeecroft&page=communique
-3797.253:	http://bugadacargnel.com/fr/pages/expositions.php?name=vanessabeecroft
-3804.844:	http://bugadacargnel.com/fr/pages/expositions.php?name=laetitiabenat-pierrebismuth&page=communique
-3804.844:	http://bugadacargnel.com/fr/pages/expositions.php?name=laetitiabenat-pierrebismuth
-3804.995:	http://bugadacargnel.com/fr/pages/expositions.php?name=35&page=communique
-3804.995:	http://bugadacargnel.com/fr/pages/expositions.php?name=35
-3806.141:	http://bugadacargnel.com/fr/pages/expositions.php?name=matcollishaw-jameshopkins-richardwoods
-3806.141:	http://bugadacargnel.com/fr/pages/expositions.php?name=matcollishaw-jameshopkins-richardwoods&page=communique
---domain: bugadacargnel.com in 16.77s: total: 19, top1: 0.684, top5: 0.947, top10: 0.947

-Summary: total: 19, top1: 0.684, top5: 0.947, top10: 0.947

